	participant	target	time	age	gender	glasses			
1285	8	5	2,333	11	m	FALSE	25,663		
1286	8	1	2,333	11	m	FALSE	25,663		
1287	8	8	2,365	11	m	FALSE	26,015		
1288	8	0	2,366	11	m	FALSE	26,026		
1289	8	5	2,333	11	m	FALSE	25,663		
1290	8	2	2,316	11	m	FALSE	25,476		
1291	8	4	2,382	11	m	FALSE	26,202		
1292	8	8	2,35	11	m	FALSE	25,85		
1293	8	0	3,531	11	m	FALSE	38,841		
1294	8	5	2,349	11	m	FALSE	25,839		
1295	8	3	2,352	11	m	FALSE	25,872		
1296	8	5	2,347	11	m	FALSE	25,817		
1297	8	2	2,348	11	m	FALSE	25,828		
1298	8	6	4,165	11	m	FALSE	45,815		
1299	8	7	3,232	11	m	FALSE	35,552		
1300	8	8	2,348	11	m	FALSE	25,828		
1301	8	3	4,15	11	m	FALSE	45,65		
1302	8	2	2,349	11	m	FALSE	25,839		
1303	8	7	2,349	11	m	FALSE	25,839		
1304	8	1	2,367	11	m	FALSE	26,037		
1305	8	3	2,648	11	m	FALSE	29,128		
1306	8	8	2,332	11	m	FALSE	25,652		
1307	8	2	2,366	11	m	FALSE	26,026		
1308	8	1	2,316	11	m	FALSE	25,476		
1309	8	6	2,648	11	m	FALSE	29,128		
1310	8	4	2,366	11	m	FALSE	26,026		
1311	8	8	2,949	11	m	FALSE	32,439		
1312	8	2	2,349	11	m	FALSE	25,839		
1313	8	8	4,147	11	m	FALSE	45,617		
1314	8	0	4,748	11	m	FALSE	52,228		
1315	8	7	2,35	11	m	FALSE	25,85		
1316	8	2	2,348	11	m	FALSE	25,828		
1317	8	1	2,35	11	m	FALSE	25,85		
1318	9	7	8,977	49	m	TRUE	439,873		
1319	9	2	10,113	49	m	TRUE	495,537		
1320	9	9	48,245	49	m	TRUE	2364,005		
1321	9	8	36,549	49	m	TRUE	1790,901		
1322	9	7	7,465	49	m	TRUE	365,785		
1323	9	1	20,64	49	m	TRUE	1011,36		
1324	9	2	22,457	49	m	TRUE	1100,393		
1325	9	7	16,441	49	m	TRUE	805,609		
1326	9	0	21,258	49	m	TRUE	1041,642		
1327	9	8	15,243	49	m	TRUE	746,907		
1328	9	7	6,83	49	m	TRUE	334,67		
1329	9	6	2,35	49	m	TRUE	115,15		
1330	9	2	20,657	49	m	TRUE	1012,193		
1331	9	6	14,36	49	m	TRUE	703,64		
1332	9	5	8,631	49	m	TRUE	422,919		
1333	9	4	8,647	49	m	TRUE	423,703		
1334	9	7	6,846	49	m	TRUE	335,454		
1335	9	2	2,365	49	m	TRUE	115,885		
1336	9	5	18,543	49	m	TRUE	908,607		
1337	9	1	14,96	49	m	TRUE	733,04		
1338	9	8	2,349	49	m	TRUE	115,101		
1339	9	0	14,326	49	m	TRUE	701,974		
1340	9	5	5,648	49	m	TRUE	276,752		
1341	9	2	27,554	49	m	TRUE	1350,146		
1342	9	4	7,465	49	m	TRUE	365,785		
1343	9	8	4,748	49	m	TRUE	232,652		
1344	9	0	5,364	49	m	TRUE	262,836		
1345	9	5	67,119	49	m	TRUE	3288,831		
1346	9	3	89,961	49	m	TRUE	4408,089		
1347	9	5	8,646	49	m	TRUE	423,654		
1348	9	2	5,649	49	m	TRUE	276,801		
